_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
10512,2612 Kipling Avenue,NB,2020-01-07T23:00:00,61,"{'type': 'Point', 'coordinates': (-79.584854, 43.748778)}",30,Weekdays from 7 AM - 9 PM,525,Kipling Avve NB ,60,2019-08-01T00:00:00,66,1.0
10513,113/115 EAST AVE,NB,,41,"{'type': 'Point', 'coordinates': (-79.132944215563, 43.784145812437)}",5,Weekdays from 7 AM - 9 PM,2888,EAST AVE NB ,40,2022-03-11T15:00:00,46,25.0
10514,13 Mount Olive Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.585901, 43.746366)}",20,Weekdays from 7 AM - 9 PM,399,Mt. Olive Dr EB ,30,2019-04-11T05:00:00,36,1.0
10515,82 Mount Olive Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.590087, 43.745981)}",20,Weekdays from 7 AM - 9 PM,523,Mt. Olive Dr EB ,30,2019-04-03T09:00:00,36,1.0
10516,44 Kingsview Boulevard,WB,,31,"{'type': 'Point', 'coordinates': (-79.553785, 43.698448)}",20,Weekdays from 7 AM - 9 PM,524,Kingsview Blvd WB ,30,2019-01-03T14:00:00,36,1.0
10517,2614 Kipling Avenue,SB,2020-04-03T14:00:00,51,"{'type': 'Point', 'coordinates': (-79.585146, 43.748907)}",30,Weekdays from 7 AM - 9 PM,918,Kipling Ave SB ,50,2020-01-27T10:00:00,56,1.0
10518,20 York Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.552668, 43.69957)}",20,Weekdays from 7 AM - 9 PM,633,York Rd EB ,30,2019-03-20T09:00:00,36,1.0
10519,34 Farr Avenue,SB,,51,"{'type': 'Point', 'coordinates': (-79.582296, 43.744024)}",30,Weekdays from 7 AM - 9 PM,644,Kipling Ave SB ,50,2019-04-03T09:00:00,56,1.0
10520,13 Maryhill Drive,SB,,51,"{'type': 'Point', 'coordinates': (-79.586408, 43.752068)}",30,Weekdays from 7 AM - 9 PM,884,Kipling Ave SB ,50,2019-12-17T10:00:00,56,1.0
10521,185 Mount Olive Drive,SB,,41,"{'type': 'Point', 'coordinates': (-79.5955, 43.751305)}",5,Weekdays from 7 AM - 9 PM,1954,Mt. Olive Dr SB ,40,2020-03-09T11:00:00,46,1.0
10522,152 Mount Olive Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.594836, 43.749095)}",5,Weekdays from 7 AM - 9 PM,1999,Mt. Olive Dr NB ,40,2020-03-09T12:00:00,46,1.0
10523,10 Jamestown Crescent,WB,,41,"{'type': 'Point', 'coordinates': (-79.582097, 43.734507)}",5,Weekdays from 7 AM - 9 PM,2083,John Garland Blvd WB ,40,2020-03-17T10:00:00,46,1.0
10524,2667 Kipling Avenue,SB,,51,"{'type': 'Point', 'coordinates': (-79.584638, 43.748906)}",30,Weekdays from 7 AM - 9 PM,2139,Kipling Ave SB ,50,2020-04-03T14:00:00,56,1.0
10525,1685 Martin Grove Road,SB,2021-04-19T10:00:00,51,"{'type': 'Point', 'coordinates': (-79.589015, 43.730927)}",30,Weekdays from 7 AM - 9 PM,2234,Martin Grove Rd SB ,50,2020-07-15T13:00:00,56,1.0
10526,7 Hullen Crescent,SB,,41,"{'type': 'Point', 'coordinates': (-79.61987, 43.729674)}",5,Weekdays from 7 AM - 9 PM,2146,Humberwood Blvd SB ,40,2020-04-06T09:00:00,46,1.0
10527,7 Arborview Crescent,NB,,41,"{'type': 'Point', 'coordinates': (-79.620937, 43.72809)}",5,Weekdays from 7 AM - 9 PM,2216,Humberwood Blvd NB ,40,2020-05-26T08:00:00,46,1.0
10528,1675 Martin Grove Road,NB,,51,"{'type': 'Point', 'coordinates': (-79.588133, 43.729528)}",30,Weekdays from 7 AM - 9 PM,2233,Martin Grove Rd NB ,50,2020-07-15T09:00:00,56,1.0
10529,"1, Promenade Circle",,2022-03-04T14:00:00,51,"{'type': 'Point', 'coordinates': (-79.451544541112, 43.808594778056)}",30,Weekdays from 7 AM - 9 PM,2903,D - ,50,2022-04-07T00:00:00,56,
10530,11 4 Leaf Drive,EB,2020-11-15T02:00:00,41,"{'type': 'Point', 'coordinates': (-79.592657, 43.730459)}",5,Weekdays from 7 AM - 9 PM,2243,Four Leaf Dr EB ,40,2020-07-16T08:00:00,46,1.0
10531,"1, Promenade Circle",,2020-09-23T10:00:00,41,"{'type': 'Point', 'coordinates': (-79.45143234042, 43.808703875069)}",5,Weekdays from 7 AM - 9 PM,2906,D - ,40,2022-04-07T00:00:00,46,
10532,"3, Promenade Circle",,2021-07-07T22:00:00,31,"{'type': 'Point', 'coordinates': (-79.451306846123, 43.808833629105)}",20,Weekdays from 7 AM - 9 PM,4527,D - ,30,2022-04-21T00:00:00,36,
10533,17 Lynmont Road,NB,2020-07-20T00:00:00,41,"{'type': 'Point', 'coordinates': (-79.59343100000001, 43.729537)}",5,Weekdays from 7 AM - 9 PM,2246,Lynmount Rd NB c,40,2020-07-17T08:00:00,46,1.0
10534,"1, Promenade Circle",,2020-12-29T11:00:00,31,"{'type': 'Point', 'coordinates': (-79.451108148505, 43.808256674035)}",20,Weekdays from 7 AM - 9 PM,21529,D - ,30,2022-08-24T00:00:00,36,
10535,109 John Garland Boulevard,EB,,41,"{'type': 'Point', 'coordinates': (-79.587652, 43.732366)}",5,Weekdays from 7 AM - 9 PM,2235,John Garland Blvd EB ,40,2020-07-16T07:00:00,46,1.0
10536,249 John Garland Boulevard,SB,,41,"{'type': 'Point', 'coordinates': (-79.592514, 43.73262)}",5,Weekdays from 7 AM - 9 PM,2238,John Garland Blvd SB C,40,2020-07-17T09:00:00,46,1.0
10537,EAST AVE 38M S/OF BARONIAL CT,SB,,41,"{'type': 'Point', 'coordinates': (-79.133884, 43.7861)}",5,Weekdays from 7 AM - 9 PM,2902,EAST AVE SB ,40,2022-03-21T09:00:00,46,25.0
10538,411 Mill Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.586652, 43.643284)}",20,Weekdays from 7 AM - 9 PM,719,Mill Rd NB ,30,2018-01-24T13:00:00,36,2.0
10539,7287 Warden Avenue,NB,,41,"{'type': 'Point', 'coordinates': (-79.3261212115282, 43.8303572822871)}",5,Weekdays from 7 AM - 9 PM,2547,Sentinel Rd NB c - ,40,2020-12-16T12:00:00,46,
10540,HADRIAN DR 79M E/OF CHALFONT RD,WB,,41,"{'type': 'Point', 'coordinates': (-79.54865, 43.715928)}",5,Weekdays from 7 AM - 9 PM,2917,HADRIAN DR WB ,40,2022-03-24T10:00:00,46,1.0
10541,36 Fulton Way,EB,,41,"{'type': 'Point', 'coordinates': (-79.3824261431643, 43.8504152431174)}",5,Weekdays from 7 AM - 9 PM,2550,Derrydown Rd EB C - ,40,2020-12-16T10:00:00,46,
10542,17 Lynmont Road,NB,2021-04-19T10:00:00,41,"{'type': 'Point', 'coordinates': (-79.59343100000001, 43.729537)}",5,Weekdays from 7 AM - 9 PM,2260,Lynmount Rd NB ,40,2020-07-20T00:00:00,46,1.0
10543,STEELES AVE E 7M W/OF GRANDVIEW AVE,WB,,51,"{'type': 'Point', 'coordinates': (-79.401750727981, 43.802089824075)}",30,Weekdays from 7 AM - 9 PM,2857,STEELES AVE E WB ,50,2022-03-01T07:00:00,56,
10544,"1, Promenade Circle",,2022-09-15T16:00:00,41,"{'type': 'Point', 'coordinates': (-79.450983838368, 43.808354088105)}",5,Weekdays from 7 AM - 9 PM,26926,D - ,40,2022-10-02T00:00:00,46,
10545,"1, Promenade Circle",,2022-10-10T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.450847510509, 43.808471960717)}",30,Weekdays from 7 AM - 9 PM,27735,D - ,40,2022-10-17T00:00:00,46,
10546,1243 Reid Street,WB,,41,"{'type': 'Point', 'coordinates': (-79.3875759844732, 43.8496724759291)}",5,Weekdays from 7 AM - 9 PM,2549,Plewes Rd WB ,40,2020-12-15T09:00:00,46,
10547,"3, Promenade Circle",,2022-04-11T14:00:00,31,"{'type': 'Point', 'coordinates': (-79.450880447503, 43.808701305565)}",20,Weekdays from 7 AM - 9 PM,23321,D - ,30,2022-08-24T00:00:00,36,
10548,"1, Promenade Circle",,2022-08-17T09:00:00,41,"{'type': 'Point', 'coordinates': (-79.451229319551, 43.808142213837)}",5,Weekdays from 7 AM - 9 PM,22805,D ,40,2022-08-24T00:00:00,46,
10549,108 John Garland Boulevard,WB,,41,"{'type': 'Point', 'coordinates': (-79.584543, 43.732318)}",5,Weekdays from 7 AM - 9 PM,2240,John Garland Bld WB ,40,2020-07-15T11:00:00,46,1.0
10550,487 Silverstone Drive,SB,,41,"{'type': 'Point', 'coordinates': (-79.596031, 43.738606)}",5,Weekdays from 7 AM - 9 PM,2241,Silverstone Dr SB c,40,2020-07-17T11:00:00,46,1.0
10551,10 Pittsboro Drive,NB,,51,"{'type': 'Point', 'coordinates': (-79.591004, 43.735692)}",30,Weekdays from 7 AM - 9 PM,2244,Martin Grove Rd NB c,50,2020-07-17T10:00:00,56,1.0
10552,573 Morrish Road,NB,2022-02-12T11:00:00,31,"{'type': 'Point', 'coordinates': (-79.174407, 43.792953)}",20,Weekdays from 7 AM - 9 PM,496,Morrish Rd NB ,30,2019-01-03T14:00:00,36,25.0
10553,"3, Promenade Circle",,2021-11-10T12:00:00,31,"{'type': 'Point', 'coordinates': (-79.451266001359, 43.809091464665)}",20,Weekdays from 7 AM - 9 PM,2870,D - ,30,2022-02-28T00:00:00,36,
10554,50 Lynmont Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.595586, 43.73158)}",5,Weekdays from 7 AM - 9 PM,2245,Lynmount Rd SB ,40,2020-07-16T10:00:00,46,1.0
10555,115 Rathburn Road,EB,2020-10-16T14:00:00,31,"{'type': 'Point', 'coordinates': (-79.5406593533131, 43.6603512367333)}",20,Weekdays from 7 AM - 9 PM,29,Rathburn Rd EB ,30,2016-11-09T10:00:00,36,2.0
10556,45 Lynmont Road,WB,,41,"{'type': 'Point', 'coordinates': (-79.592766, 43.730528)}",5,Weekdays from 7 AM - 9 PM,2247,Four Leaf Dr WB ,40,2020-07-16T09:00:00,46,1.0
10557,143 Gihon Spring Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.598554, 43.754386)}",5,Weekdays from 7 AM - 9 PM,2250,Gihon Spring Dr EB ,40,2020-07-20T09:00:00,46,1.0
10558,198 Mount Olive Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.596798, 43.752924)}",5,Weekdays from 7 AM - 9 PM,2251,Mount Olive Dr NB ,40,2020-07-20T10:00:00,46,1.0
10559,249 John Garland Boulevard,SB,,41,"{'type': 'Point', 'coordinates': (-79.592514, 43.73262)}",5,Weekdays from 7 AM - 9 PM,2254,John Garland Blvd SB ,40,2020-07-20T00:00:00,46,1.0
10560,10 Pittsboro Drive,NB,,51,"{'type': 'Point', 'coordinates': (-79.591004, 43.735692)}",30,Weekdays from 7 AM - 9 PM,2255,Martin Grove Rd NB ,50,2020-07-20T00:00:00,56,1.0
10561,487 Silverstone Drive,SB,,41,"{'type': 'Point', 'coordinates': (-79.596031, 43.738606)}",5,Weekdays from 7 AM - 9 PM,2256,Silverstone Dr SB ,40,2020-07-20T00:00:00,46,1.0
10562,70 Gihon Spring Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.596796, 43.75489)}",5,Weekdays from 7 AM - 9 PM,2257,Gihon Spring Dr WB ,40,2020-07-20T09:00:00,46,1.0
10563,1 Scullion Court,NB,,41,"{'type': 'Point', 'coordinates': (-79.597333, 43.753705)}",5,Weekdays from 7 AM - 9 PM,2258,Mount Olive Dr NB ,40,2020-07-20T10:00:00,46,1.0
10564,72 Rathburn Road,WB,2020-04-27T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.5373816938974, 43.6612089010546)}",30,Weekdays from 7 AM - 9 PM,284,Rathburn Rd WB ,40,2016-11-30T11:00:00,46,2.0
10565,Burnhamthorpe Road,WB,2021-06-26T02:00:00,51,"{'type': 'Point', 'coordinates': (-79.5649030391487, 43.6449844395846)}",30,Weekdays from 7 AM - 9 PM,297,Armour Blvd WB ,50,2019-07-23T14:00:00,56,2.0
10566,1795 Martin Grove Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.592333, 43.737876)}",30,Weekdays from 7 AM - 9 PM,2345,Martin Grove Rd SB ,50,2020-09-21T14:00:00,56,1.0
10567,8 Littleriver Crescent,EB,,51,"{'type': 'Point', 'coordinates': (-79.59377300000001, 43.736250000000005)}",30,Weekdays from 7 AM - 9 PM,2346,Finch Ave W EB ,50,2020-09-21T12:00:00,56,1.0
10568,27 Sultan Pool Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.592883, 43.736589)}",5,Weekdays from 7 AM - 9 PM,2347,Finch Ave W WB ,40,2020-09-21T12:00:00,46,1.0
10569,538 Silverstone Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.595158, 43.736937)}",5,Weekdays from 7 AM - 9 PM,2373,Silverstone Dr NB - C,40,2020-09-22T10:00:00,46,1.0
10570,538 Silverstone Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.595158, 43.736937)}",5,Weekdays from 7 AM - 9 PM,2381,Silverstone Dr NB ,40,2020-09-24T00:00:00,46,1.0
10571,343 SILVERSTONE DR,NB,,41,"{'type': 'Point', 'coordinates': (-79.599653, 43.749086)}",5,Weekdays from 7 AM - 9 PM,2647,SILVERSTONE DR NB ,40,2021-03-19T11:00:00,46,1.0
10572,Monterrey Dr 64m W of Beaumonde Heights Dr,NB,,41,"{'type': 'Point', 'coordinates': (-79.574622, 43.741915)}",5,Weekdays from 7 AM - 9 PM,2648,MONTERREY DR NB ,40,2021-03-19T13:00:00,46,1.0
10573,Between 16-18 Golfdown Dr,WB,,41,"{'type': 'Point', 'coordinates': (-79.550732, 43.723305)}",5,Weekdays from 7 AM - 9 PM,2696,GOLFDOWN DR WB ,40,2021-05-10T13:00:00,46,1.0
10574,HUMBERWOOD BLVD 200M N/OF TOPBANK DR,SB,,41,"{'type': 'Point', 'coordinates': (-79.620047, 43.73213)}",5,Weekdays from 7 AM - 9 PM,2840,HUMBERWOOD BLVD SB ,40,2022-02-07T00:00:00,46,1.0
10575,OPP BUS STOP IN FRONT OF 2677 KIPLING AVE,SB,,51,"{'type': 'Point', 'coordinates': (-79.584880117286, 43.748764995184)}",30,Weekdays from 7 AM - 9 PM,2878,KIPLING AVE SB ,50,2022-03-10T00:00:00,56,1.0
10576,227 Mill Road,SB,2020-02-20T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.577376, 43.63430600000001)}",30,Weekdays from 7 AM - 9 PM,627,Mill Rd SB ,40,2019-01-01T00:00:00,46,2.0
10577,41/43 HARDIAN DR,EB,,41,"{'type': 'Point', 'coordinates': (-79.55153690062, 43.715149131656005)}",5,Weekdays from 7 AM - 9 PM,2911,HADRIAN DR EB ,40,2022-04-11T11:00:00,46,1.0
10578,592 Renforth Drive,NB,,31,"{'type': 'Point', 'coordinates': (-79.580383, 43.653807)}",20,Weekdays from 7 AM - 9 PM,15,Renforth Dr NB ,30,2019-04-15T06:00:00,36,2.0
10579,209 Mill Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.576125, 43.633365)}",20,Weekdays from 7 AM - 9 PM,106,Mill Rd NB ,30,2019-04-15T06:00:00,36,2.0
10580,110 Eringate Drive,WB,2020-05-30T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.5814464299856, 43.6605423608204)}",30,Weekdays from 7 AM - 9 PM,717,Eringate Dr WB ,40,2018-10-19T08:00:00,46,2.0
10581,308 The Westway,WB,,31,"{'type': 'Point', 'coordinates': (-79.555977, 43.685495)}",20,Weekdays from 7 AM - 9 PM,131,The Wesway WB ,30,2018-01-24T14:00:00,36,2.0
10582,55 Lafferty Street,SB,,31,"{'type': 'Point', 'coordinates': (-79.582609, 43.658028)}",20,Weekdays from 7 AM - 9 PM,156,Renforth Dr SB (3 of 3) ,30,2018-10-19T09:00:00,36,2.0
10583,420 Mill Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.588101, 43.644406)}",30,Weekdays from 7 AM - 9 PM,192,Mill Rd SB ,50,2018-01-24T13:00:00,56,2.0
10584,3 Bowness Court,NB,,41,"{'type': 'Point', 'coordinates': (-79.5524062354293, 43.6738182309898)}",5,Weekdays from 7 AM - 9 PM,249,Strathburn Blvd NB ,40,2019-07-23T13:00:00,46,2.0
10585,111 Chapman Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.521569, 43.689142)}",20,Weekdays from 7 AM - 9 PM,269,Chapman Rd EB ,30,2019-02-26T09:00:00,36,2.0
10586,4 Burkston Place,SB,,41,"{'type': 'Point', 'coordinates': (-79.552234574052, 43.6722351737184)}",5,Weekdays from 7 AM - 9 PM,271,Strathburn Rd SB ,40,2019-07-23T14:00:00,46,2.0
10587,95 Richland Crescent,NB,,31,"{'type': 'Point', 'coordinates': (-79.581933, 43.657153)}",20,Weekdays from 7 AM - 9 PM,347,Renforth Dr NB (2 of 3) ,30,2018-10-19T09:00:00,36,2.0
10588,735 Renforth Drive,SB,,31,"{'type': 'Point', 'coordinates': (-79.583792, 43.660588)}",20,Weekdays from 7 AM - 9 PM,378,Renforth Dr SB (1 of 3) ,30,2019-04-12T13:00:00,36,2.0
10589,489 Rathburn Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.576622, 43.652036)}",20,Weekdays from 7 AM - 9 PM,390,Rathburn Rd EB ,30,2019-05-24T12:00:00,36,2.0
10590,127 Sun Row Drive,NB,,31,"{'type': 'Point', 'coordinates': (-79.536916, 43.684964)}",20,Weekdays from 7 AM - 9 PM,443,Sunrow Dr NB ,30,2017-06-16T14:00:00,36,2.0
10591, Renforth Drive,SB,,31,"{'type': 'Point', 'coordinates': (-79.585958, 43.665158)}",20,Weekdays from 7 AM - 9 PM,475,Renforth Dr SB (1 of 3) ,30,2018-10-18T08:00:00,36,2.0
10592,466 Rathburn Road,WB,,31,"{'type': 'Point', 'coordinates': (-79.574351, 43.652737)}",20,Weekdays from 7 AM - 9 PM,543,Rathburn Rd WB ,30,2019-05-24T11:00:00,36,2.0
10593,334 The East Mall,SB,,31,"{'type': 'Point', 'coordinates': (-79.557186, 43.638992)}",20,Weekdays from 7 AM - 9 PM,576,The East Mall SB (1&amp;#x2F;2) ,30,2018-11-02T12:00:00,36,2.0
10594,20 Saskatoon Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.53657, 43.695111)}",20,Weekdays from 7 AM - 9 PM,582,Saskatoon Dr EB ,30,2019-03-06T13:00:00,36,2.0
10595,"1, Promenade Circle",,2021-05-14T17:00:00,31,"{'type': 'Point', 'coordinates': (-79.451940366117, 43.808494997354)}",20,Weekdays from 7 AM - 9 PM,2842,D - ,30,2022-02-07T00:00:00,36,
10596,"1, Promenade Circle",,2021-10-10T21:00:00,31,"{'type': 'Point', 'coordinates': (-79.451795972908, 43.808622854461)}",20,Weekdays from 7 AM - 9 PM,2843,D - ,30,2022-02-27T00:00:00,36,
10597,99 Stapleton Drive,EB,2022-09-26T01:00:00,31,"{'type': 'Point', 'coordinates': (-79.547692, 43.690013)}",20,Weekdays from 7 AM - 9 PM,657,Poynter Dr EB ,30,2019-03-11T07:00:00,36,2.0
10598,21 Arcade Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.517555, 43.687513)}",30,Weekdays from 7 AM - 9 PM,658,Arcade Dr NB ,40,2019-02-26T09:00:00,46,2.0
10599,736 Royal York Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.506294, 43.63487000000001)}",30,Weekdays from 7 AM - 9 PM,694,Royal York Rd SB ,40,2019-03-07T11:00:00,46,3.0
10600,17 Jardine Place,NB,2020-10-27T00:00:00,61,"{'type': 'Point', 'coordinates': (-79.555366, 43.686783)}",30,Weekdays from 7 AM - 9 PM,2416,Kipling Ave NB - C,60,2020-10-26T13:00:00,66,2.0
10601,30 Westroyal Road,NB,,41,"{'type': 'Point', 'coordinates': (-79.536486, 43.69309700000001)}",5,Weekdays from 7 AM - 9 PM,895,Westroyal Rd NB ,40,2019-12-27T11:00:00,46,2.0
10602,31 Westroyal Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.536527, 43.692693)}",5,Weekdays from 7 AM - 9 PM,897,Westroyal Rd SB ,40,2019-12-27T11:00:00,46,2.0
10603,55 Saskatoon Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.539949, 43.694218)}",20,Weekdays from 7 AM - 9 PM,995,Saskatoon Dr EB ,30,2019-04-02T10:00:00,36,2.0
10604,17 Jardine Place,NB,2020-10-28T00:00:00,61,"{'type': 'Point', 'coordinates': (-79.555366, 43.686783)}",30,Weekdays from 7 AM - 9 PM,2454,Kipling Ave NB ,60,2020-10-27T00:00:00,66,2.0
10605,17 Jardine Place,SB,2021-04-19T13:00:00,61,"{'type': 'Point', 'coordinates': (-79.555366, 43.686783)}",30,Weekdays from 7 AM - 9 PM,2462,Kipling Ave SB ,60,2020-10-28T00:00:00,66,2.0
10606,2 Gracey Boulevard,NB,2021-08-15T18:00:00,61,"{'type': 'Point', 'coordinates': (-79.553904, 43.684166)}",30,Weekdays from 7 AM - 9 PM,2558,Kipling Ave NB ,60,2020-10-28T12:00:00,66,2.0
10607,127 Sun Row Drive,NB,,31,"{'type': 'Point', 'coordinates': (-79.536916, 43.684964)}",20,Weekdays from 7 AM - 9 PM,2008,Sun Row Dr NB ,30,2020-03-10T00:00:00,36,2.0
10608,"3, Promenade Circle",,2021-09-28T11:00:00,41,"{'type': 'Point', 'coordinates': (-79.451388829491, 43.808977674968)}",5,Weekdays from 7 AM - 9 PM,2856,D - ,40,2022-02-28T00:00:00,46,
10609,178 Sunnyside Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.450555, 43.64381)}",20,Weekdays from 7 AM - 9 PM,146,Sunnyside Ave SB ,30,2019-04-11T10:00:00,36,4.0
10610,23 Fieldstone Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.57751, 43.634383)}",30,Weekdays from 7 AM - 9 PM,2050,Mill Rd SB ,50,2020-02-21T10:00:00,56,2.0
10611,72 Rathburn Road,WB,,41,"{'type': 'Point', 'coordinates': (-79.537389, 43.66116)}",5,Weekdays from 7 AM - 9 PM,2169,Rathburn Rd WB ,40,2020-04-28T13:00:00,46,2.0
10612,112 Eringate Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.581934, 43.660407)}",5,Weekdays from 7 AM - 9 PM,2218,Eringate Dr WB ,40,2020-06-01T11:00:00,46,2.0
10613,4319 Bloor Street,EB,,41,"{'type': 'Point', 'coordinates': (-79.574247, 43.632239)}",5,Weekdays from 7 AM - 9 PM,2252,Bloor St W EB c,40,2020-07-20T12:00:00,46,2.0
10614,17 Forestview Road,NB,,41,"{'type': 'Point', 'coordinates': (-79.572369, 43.631985)}",5,Weekdays from 7 AM - 9 PM,2259,Fairview Rd NB c,40,2020-07-20T13:00:00,46,2.0
10615,4319 Bloor Street,EB,,41,"{'type': 'Point', 'coordinates': (-79.574247, 43.632239)}",5,Weekdays from 7 AM - 9 PM,2264,Bloor St W EB ,40,2020-07-26T00:00:00,46,2.0
10616,20 Saskatoon Drive,WB,,31,"{'type': 'Point', 'coordinates': (-79.53657, 43.695111)}",20,Weekdays from 7 AM - 9 PM,2265,Saskatoon Dr WB ,30,2020-07-26T00:00:00,36,2.0
10617,17 Forestview Road,NB,,41,"{'type': 'Point', 'coordinates': (-79.572369, 43.631985)}",5,Weekdays from 7 AM - 9 PM,2268,Fairview Rd NB ,40,2020-07-26T00:00:00,46,2.0
10618,110 Wimbleton Road,SB,,31,"{'type': 'Point', 'coordinates': (-79.528686, 43.662602)}",20,Weekdays from 7 AM - 9 PM,2391,Wimbleton Rd SB C ,30,2020-06-24T08:00:00,36,2.0
10619,18 Lavington Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.563054, 43.690311)}",5,Weekdays from 7 AM - 9 PM,2401,Lavington Dr WB ,40,2020-10-09T11:00:00,46,2.0
10620,14 Lavington Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.562543, 43.690549)}",5,Weekdays from 7 AM - 9 PM,2403,Lavington Dr EB ,40,2020-10-09T10:00:00,46,2.0
10621, Elizabeth Street,WB,2020-03-24T00:00:00,31,"{'type': 'Point', 'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,484,Stanley Ave WB ,30,2019-03-07T11:00:00,36,3.0
10622,64 Ludstone Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.563278, 43.691902)}",5,Weekdays from 7 AM - 9 PM,2404,Ludstone Dr EB ,40,2020-10-09T12:00:00,46,2.0
10623,104 Jutland Road,WB,2021-04-19T15:00:00,31,"{'type': 'Point', 'coordinates': (-79.51843600000001, 43.628689)}",20,Weekdays from 7 AM - 9 PM,573,Jutland Rd WB ,30,2019-03-20T06:00:00,36,3.0
10624,59 Trehorne Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.535202, 43.690533)}",5,Weekdays from 7 AM - 9 PM,2407,Trehorne Dr EB - c ,40,2020-10-21T10:00:00,46,2.0
10625,59 Trehorne Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.535202, 43.690533)}",5,Weekdays from 7 AM - 9 PM,2411,Trehorne Dr EB ,40,2020-10-22T00:00:00,46,2.0
